1,133.0
2,93.0
3,14.0
4,14.0
5,11.0
6,23.0
7,30.0
8,31.0
9,32.0
10,37.0
11,41.0
12,45.0
13,36.0
14,53.0
15,69.0
16,60.0
17,114.0
18,166.0
19,149.0
20,274.0
